Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/tw/product/integra-usb-a-to-lightning-charge-sync-cable-4-ft-1-2-m/jet-silver?ref=category:22,463,298,0:00:29,0,0.00%,8.21%,$1.36 
/en/product/altra-slim-hardshell-case-with-strap/sahara-beige-for-iphone-12-pro-max-snapto/,462,372,0:01:14,335,37.80%,41.77%,$0.18 
/tw/product/versacover-case-with-folding-cover/charcoal-black-for-ipad-pro-11-inch-3rd-1st-gen?ref=category:58,462,392,0:01:00,3,50.00%,23.38%,$0.31 
/tw/product/versacover-case-with-folding-cover/savanna-beige-for-ipad-pro-11-inch-1st-2nd-gen,461,276,0:00:25,0,0.00%,11.71%,$0.00 
/tw/product/pebbo-for-airpods-pro/savanna-beige,457,311,0:00:44,2,50.00%,20.57%,$2.30 
/en/product/iglaze-slim-hardshell-case/slate-blue-for-iphone-13-pro?ref=device:618:iphone 13 pro,451,288,0:00:26,2,0.00%,13.08%,$1.47 
/en/product/iglaze-slim-hardshell-case/slate-blue-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,450,360,0:00:45,42,80.95%,23.33%,$1.76 
/tw/product/overture-case-with-detachable-magnetic-wallet/jet-black-for-iphone-13/?ref=device:617:iphone 13,444,343,0:01:07,69,65.22%,30.18%,$0.31 
/tw/product/altra-slim-hardshell-case-with-strap/sahara-beige-for-iphone-13/?ref=device:617:iphone 13,442,357,0:00:45,40,70.00%,21.49%,$0.21 
/tw/product/versacover-case-with-folding-cover/charcoal-black-for-ipad-air-10-9-inch-4th-gen?ref=category:58,442,312,0:01:05,3,50.00%,19.00%,$1.11 
/tw/product/progeo-usb-c-wall-charger-42-w/us-version?ref=category:44,441,325,0:01:00,1,0.00%,19.05%,$0.67 
/en/product/iglaze-slim-hardshell-case/adriatic-blue-for-iphone-13-pro/?ref=device:618:iphone 13 pro,436,361,0:00:51,51,66.67%,29.82%,$0.45 
/en/product/muse-13-slim-fit-sleeve/seashell-white,434,324,0:00:40,8,14.29%,15.44%,$2.14 
/tw/product/vitros-slim-clear-case/crystal-clear-for-iphone-11-pro/,429,313,0:01:03,265,33.58%,38.69%,$0.14 
"/tw/product/versacover-case-with-folding-cover/sienna-orange-for-ipad-pro-11-inch-3rd-1st-gen/?ref=device:610,611,612,613:ipad pro 11"" (3rd generation)",426,351,0:01:31,53,62.26%,37.56%,$0.19 
/en/product/iglaze-slim-hardshell-case/pearl-white-for-iphone-13-pro?ref=device:618:iphone 13 pro,424,267,0:00:13,1,0.00%,5.19%,$0.86 
/tw/product/versacover-case-with-folding-cover/charcoal-black-for-ipad-pro-11-inch-1st-2nd-gen/?model=183,424,314,0:00:29,26,66.67%,14.15%,$0.20 
/en/product/altra-slim-hardshell-case-with-strap/midnight-blue-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,421,327,0:01:14,48,64.58%,32.54%,$0.81 
/tw/product/ionbank-10k-portable-battery/gunmetal-gray?ref=category:33,421,349,0:00:38,2,0.00%,13.06%,$0.45 
/tw/product/ivisor-ag-anti-glare-screen-protector/black-clear-matte-for-iphone-13/?ref=device:618:iphone 13 pro,421,337,0:01:44,22,59.09%,26.37%,$0.18 
"/tw/product/iglaze-hardshell-case/stealth-clear-for-macbook-air-retina-13-inch-2020/?ref=device:602:macbook air (m1 2020)",420,354,0:01:31,53,83.02%,34.76%,$1.27
/tw/product/qubit-usb-c-charger-20-w/white?ref=category:44,418,367,0:00:57,3,0.00%,20.10%,$1.33 
/tw/product/iongo-5k-duo-portable-battery-with-built-in-lightning-and-usb-c-cables/pink?ref=category:33,416,320,0:01:06,0,0.00%,17.31%,$4.34 
/tw/product/versacover-case-with-folding-cover/charcoal-black-for-ipad-pro-11-inch-1st-2nd-gen,414,270,0:00:23,2,0.00%,11.35%,$0.00 
/en/product/iglaze-slim-hardshell-case/astral-silver-for-iphone-13-pro?model=198,410,277,0:00:43,1,100.00%,23.90%,$0.14 
/en/product/iglaze-hardshell-case/satin-gold-for-macbook-pro-13r/,409,314,0:00:31,286,26.92%,33.74%,$1.21 
"/tw/product/versacover-case-with-folding-cover/charcoal-black-for-ipad-pro-129-inch-5th-gen/?ref=device:605,607,606,608,609:ipad pro 12.9"" (5th generation)",408,344,0:02:02,51,62.75%,46.57%,$0.00 
/tw/product/muse-13-slim-fit-sleeve/seashell-white?ref=category:36,405,329,0:00:56,3,50.00%,20.49%,$0.83 
/en/product/airfoil-pro/black-clearglossy-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,403,309,0:01:59,53,62.26%,43.67%,$3.22 
/tw/product/altra-slim-hardshell-case-with-strap/sahara-beige-for-iphone-13-pro-max?ref=device:619:iphone 13 pro max,401,234,0:00:21,4,0.00%,9.23%,$0.90 
/tw/product/ionslim-10k-usb-c-portable-battery/titanium-gray/,400,334,0:01:23,259,45.38%,43.25%,$0.00 
/tw/product/versacover-case-with-folding-cover/savanna-beige-for-ipad-air-10-9-inch-4th-gen?ref=category:58,400,310,0:01:09,2,0.00%,19.75%,$0.88 
/en/product/altra-slim-hardshell-case-with-strap/sahara-beige-for-iphone-13-pro-max/,397,294,0:01:14,278,26.69%,41.31%,$0.54 
/tw/product/versacover-case-with-folding-cover/sienna-orange-for-ipad-pro-11-inch-3rd-1st-gen?model=189,397,267,0:00:24,3,0.00%,8.82%,$0.00 
/tw/product/arx-clear-slim-hardshell-case/clear-for-iphone-13/,396,328,0:00:42,18,27.78%,14.65%,$0.00 
/en/product/iglaze-xt-clear-case/clear-for-iphone-13-pro-max/?ref=device:619:iphone 13 pro max,392,325,0:01:31,84,77.38%,43.88%,$1.18 
/tw/product/muse-13-slim-fit-sleeve/caramel-brown-2021/,387,318,0:01:11,250,41.83%,42.64%,$0.51 
/tw/product/helios-lite-slim-laptop-backpack/titanium-gray?ref=category:10,386,245,0:00:42,2,0.00%,11.14%,$0.00 
/en/product/iglaze-slim-hardshell-case/pearl-white-for-iphone-13-pro/?ref=device:618:iphone 13 pro,382,302,0:01:05,38,65.79%,24.35%,$0.26 
/tw/product/helios-lite-slim-laptop-backpack/herringbone-gray?ref=category:10,382,237,0:00:25,2,0.00%,4.19%,$0.00 
